RANK,WORD,FREQUENCY,POS
317,आवश्यकता,1039,NN
318,रहती,1038,Unk
319,बनाने,1036,VNN
320,अतिरिक्त,1027,Unk
321,साहित्य,1023,Unk
322,चाहता,1018,Unk
323,भूमि,1016,Unk
324,नीचे,1012,Unk
325,समिति,1007,NNP
326,दूसरी,1000,QFNUM
327,विज्ञान,991,Unk
328,साहब,990,Unk
329,रखा,990,VFM
330,कैसे,983,Unk
331,छोटे,968,Unk
332,अच्छा,966,JJ
333,चित्र,964,Unk
334,लगी,960,VFM
335,ज्यादा,960,JJ
336,सा,959,Unk
337,विभाग,958,NN
338,कृषि,955,NN
339,पड़ता,952,Unk
340,रात,951,Unk
341,उत्पन्न,947,Unk
342,इसकी,940,PRP
343,कह,937,VFM
344,रहने,933,VNN
345,धीरे,933,Unk
346,देख,925,Unk
347,कौन,923,Unk
348,पड़ा,921,Unk
349,आई,919,VFM
350,काल,915,Unk
351,स्थापित,913,JVB
352,टन,912,Unk
353,महत्वपूर्ण,910,JJ
354,गांव,910,NN
355,उद्योग,907,NN
356,हों,906,VFM
357,वृद्धि,905,Unk
358,लाभ,905,Unk
359,परिवार,905,NN
360,अच्छी,901,JVB
361,चल,891,VFM
362,प्रदान,888,Unk
363,वर्ग,886,Unk
364,पूर्ण,886,JJ
365,पिता,886,NN
366,सामान्य,885,JJ
367,पीछे,885,NLOC
368,चला,884,VFM
369,ई,883,Unk
370,नई,882,NNPC
371,लोक,879,Unk
372,आता,879,Unk
373,वहाँ,875,Unk
374,लेने,875,VNN
375,प्रश्न,875,Unk
376,मानव,872,NNC
377,हिन्दी,862,Unk
378,जनता,862,NNPC
379,अन्तर्गत,861,Unk
380,जिसके,860,PRP
381,साल,858,NN
382,तरफ,852,PREP
383,प्रमुख,849,JJ
384,हमारी,847,PRP
385,समान,846,Unk
386,देती,843,VAUX
387,भाई,839,NN
388,रंग,837,Unk
389,विश्वास,835,NN
390,दिनों,833,NN
391,उपलब्ध,823,JVB
392,जाय,822,Unk
393,भिन्न,821,JJ
394,अनुभव,821,Unk
395,वही,817,Unk
396,रोग,816,Unk
397,सेवा,815,NN
398,उनमें,813,PRP
399,संबंध,812,Unk
400,समझ,810,Unk
401,केन्द्र,810,Unk
402,हेतु,808,Unk
403,समस्या,808,NN
404,पी,808,Unk
405,नीति,806,Unk
406,प्रस्तुत,805,JVB
407,बताया,799,VFM
408,आपको,799,Unk
409,आते,799,Unk
410,भाव,795,NN
411,आये,791,VFM
412,कहना,788,VFM
413,मूल्य,784,Unk
414,ली,783,VFM
415,मिला,778,VFM
416,बच्चे,778,Unk
417,मंत्री,774,NN
418,सरकारी,772,NNC
419,भीतर,768,PREP
420,देर,768,Unk
421,कुल,766,QF
422,लिखा,763,VFM
423,जिसे,760,Unk
424,केन्द्रीय,760,Unk
425,कमी,760,NVB
426,उद्देश्य,759,NN
427,स्त्री,752,NNC
428,दिये,750,VAUX
429,कला,750,Unk
430,बातें,748,Unk
431,किस,747,QW
432,सही,746,JJ
433,प्रथम,746,Unk
434,जाये,745,VAUX
435,जगह,744,NN
436,माध्यम,743,NN
437,इतनी,741,Unk
438,देशों,740,NN
439,रुप,737,Unk
440,उचित,737,JJ
441,स्वीकार,731,NVB
442,पैदा,731,NVB
443,गांधी,730,NNP
444,पुलिस,728,NN
445,माना,724,VFM
446,बिजली,723,Unk
447,नये,723,Unk
448,राम,721,Unk
449,इतिहास,716,NN
450,रखने,715,VNN
451,मगर,711,Unk
452,जबकि,710,RB
453,शायद,707,RB
454,मिलता,707,
455,देखने,704,Unk
456,शामिल,703,JVB
457,वस्तु,703,Unk
458,ए,703,Unk
459,क्षमता,700,Unk
460,आती,700,Unk
461,ढेल्हि,699,Unk
462,जारी,698,JVB
463,बल्कि,696,CC
464,मूल,690,JJ
465,टो,690,Unk
466,परिवर्तन,689,NN
467,जैसा,688,Unk
468,चुका,688,VAUX
469,संस्कृति,687,Unk
470,माल,687,Unk
471,ताकि,686,CC
472,कविता,685,Unk
473,प्रणाली,683,Unk
474,वैज्ञानिक,678,Unk
475,मत,678,Unk
476,देखते,678,VJJ
477,व्यवहार,677,Unk
478,लेते,674,Unk
479,रख,672,Unk
480,प्रयास,670,NN
481,देखकर,670,Unk
482,प्रक्रिया,669,NN
483,सिर,668,NN
484,प्रशिक्षण,667,NVB
485,दर्शन,667,NN
486,इनके,667,Unk
487,जहाँ,665,Unk
488,निश्चित,664,Unk
489,बच्चों,662,Unk
490,जन्म,660,Unk
491,विश्व,659,NNPC
492,जिन,657,PRP
493,पत्नी,656,NN
494,बस,654,Unk
495,चाहते,654,VFM
496,दूसरा,653,QFNUM
497,सन्,652,Unk
498,बल,652,Unk
499,चाहे,652,Unk
500,समाप्त,649,JVB
501,बालक,649,Unk
502,सारे,646,Unk
503,युद्ध,645,NNC
504,परियोजना,644,Unk
505,स्वर,641,Unk
506,रचना,639,Unk
507,सूचना,638,NN
508,मध्य,638,JJ
509,जमीन,638,Unk
510,जाएगा,634,VAUX
511,स्थापना,633,NN
512,संघ,631,NN
513,अनुसंधान,631,Unk
514,विवाह,630,NN
515,पाया,630,Unk
516,विधि,629,Unk
517,बढ़,628,JVB
518,ग्रामीण,628,NNC
519,बैंक,624,Unk
520,चाहिये,624,Unk
521,दें,623,VAUX
522,मां,622,Unk
523,संगीत,618,NN
524,आपके,617,Unk
525,सहकारी,615,Unk
526,बनाया,614,VFM
527,ओङ्,613,Unk
528,कांग्रेस,611,NN
529,लग,610,VFM
530,अवधि,610,NN
531,जिसका,608,Unk
532,जाकर,607,Unk
533,प्राय:,606,Unk
534,सिद्धान्त,605,Unk
535,जान,605,Unk
536,एस,605,NNPC
537,लाल,604,NNPC
538,उनको,604,Unk
539,अधिकार,603,NNC
540,दल,602,NN
541,वर्तमान,601,Unk
542,तभी,601,RB
543,पूछा,598,Unk
544,अन्दर,598,Unk
545,मिट्टी,596,Unk
546,नदी,594,Unk
547,निर्णय,593,NVB
548,जिनमें,591,PRP
549,जाति,590,Unk
550,जायेगा,589,VAUX
551,ग्राम,587,Unk
552,पड़े,586,VFM
553,शब्दों,585,Unk
554,मान,582,Unk
555,सामग्री,581,NN
556,पड़,581,VFM
557,छोड़,581,VFM
558,पति,579,Unk
559,छोटी,578,Unk
560,सत्य,577,Unk
561,इनमें,577,PRP
562,जानकारी,574,NN
563,सिर्फ,569,RB
564,वस्तुओं,568,Unk
565,उठा,568,VFM
566,सारी,566,Unk
567,उनसे,566,PRP
568,व्यापार,565,Unk
569,याद,565,Unk
570,पक्ष,562,NN
571,बाजार,560,Unk
572,पूरे,560,JVB
573,अर्थात्,560,Unk
574,हमारा,559,Unk
575,माता,559,Unk
576,सुधार,558,Unk
577,प्रस्ताव,558,NN
578,उपभोक्ता,558,Unk
579,होंगे,557,VFM
580,दिए,557,VFM
581,अ,556,Unk
582,अलावा,555,PREP
583,पिछले,554,JJ
584,कहानी,554,Unk
585,बन्द,553,Unk
586,राज्यों,552,NN
587,महत्व,552,NN
588,यद्यपि,551,Unk
589,डी,551,NNPC
590,आकर,551,Unk
591,अवसर,551,NN
592,दिखाई,550,VFM
593,नगर,549,Unk
594,मात्र,548,INTF
595,पर्याप्त,545,Unk
596,निकल,545,Unk
597,आधुनिक,545,Unk
598,अन्त,545,Unk
599,जल्दी,544,RB
600,सदस्य,543,NN
601,सम्बन्धी,542,Unk
602,सीमा,541,NN
603,बोला,541,Unk
604,प्रकाशित,541,Unk
605,तुम्हें,541,Unk
606,संयुक्त,540,NNC
607,चले,539,VFM
608,अपेक्षा,539,Unk
609,वैसे,536,Unk
610,मांग,536,NN
611,उसको,536,Unk
612,प्रकाश,535,Unk
613,वास्तविक,534,Unk
614,पंजाब,534,NNP
615,स्वरूप,532,Unk
616,भावना,530,Unk
617,अवस्था,530,Unk
618,करे,529,VFM
619,प्रेम,528,Unk
620,प्रकट,528,Unk
621,लेना,527,NNC
622,मृत्यु,527,Unk
623,नेता,526,NN
624,हजार,525,NN
625,पुन:,522,Unk
